"V1" "V2" "V3" "V4" "V5"
"TOTAL_COSTS" 71.3768424773948 56.8252403908559 42.8005085244047 46.115252148053 79.03410310878
"BC_COSTS" 67.0993379805582 52.662983837127 39.0216250898434 42.1154357784613 74.2103780986098
"SCREEN_COSTS" 4.2775044968366 4.16225655372885 3.7788834345613 3.99981636959169 4.82372501017017
"QALYS" 15.7512230840199 15.7347749100235 15.698614689994 15.7970615781653 15.7922326400098
"LYS" 22.3629484763003 22.3343389145405 22.3149783359436 22.4222864206003 22.4413530425784
"LG_SYMPT" 0.0177573272392966 0.0140254377242476 0.00675518840277927 0.0088531053414472 0.0237110758671761
"HG_St1_SYMPT" 0.0110566243187493 0.00377777188103667 0.00500699116510625 0.00417664409223047 0.00885617438553535
"HG_St2_SYMPT" 0.00408325010303659 0.00156334411822508 0.00206286110956904 0.00249227942852211 0.00181712258514737
"HG_St3_SYMPT" 0.00165061056150218 0.000815813817440321 0.000877537310765434 0.00122717975970258 0.000686753507174382
"HG_St4_SYMPT" 0.00446600286756745 0.00373570276207471 0.00443701120776967 0.00347359669925028 0.00611666060198853
"LG_SCRN" 0.000123062455900643 0.000823080793126839 0 0 0
"HG_St1_SCRN" 0 0 0.000466945610854371 0 0
"HG_St2_SCRN" 0 0 0 0 0.000164588800901102
"HG_St3_SCRN" 0 0.000157206436823055 0 0 0
"HG_St4_SCRN" 0.000128418791274969 7.58968052167268e-05 0.000150214153820773 0.000220341276169638 0.000131910450176474
"HG_St1_MORT" 0.00218045866741776 0.000723434182800832 0.000700353319161837 0.000979662108950719 0.00167913415086089
"HG_St2_MORT" 0.00237044096687119 0.00103376037808656 0.000828179006449033 0.00111460042909914 0.00130215348885038
"HG_St3_MORT" 0.00149329903616372 0.00036332072041913 0.000435827485717193 0.0005307325698445 0.000502245690894234
"HG_St4_MORT" 0.00347687580044696 0.00348080576486598 0.00364334419866277 0.00271770122865472 0.00444488171470951
"Die_TURBT" 0.000220060782561956 0.000222834777045069 0.000425340396413318 0 0.000113211248941402
"Invite_DS" 2.15277244451155 2.162185791257 2.14286970600907 2.18275042907149 2.20276674096271
"Respond_DS" 1.25299463247051 1.268055009298 1.22991590471158 1.22332126233679 1.26496864129207
"Positive_DS" 0.225199701131085 0.215066117024944 0.206675479811797 0.175271426826279 0.271135226975465
"Respond_Cyst" 0.225199701131085 0.215066117024944 0.206675479811797 0.175271426826279 0.271135226975465
"Diagnostic_Cyst" 0.0387564869432958 0.0390117865417362 0.035468803301063 0.0253687567787022 0.0606904271897107
"TURBT" 0.0387564869432958 0.0390117865417362 0.035468803301063 0.0253687567787022 0.0606904271897107
"FP" 0.0385050056961202 0.0379556025065696 0.0348516435363879 0.0251484155025325 0.0603939279386332
"FN" 0.146888826199711 0.0763596460953157 0.109779260030965 0.0919626856298709 0.124745318776165
