	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70		
HG_St4_SYMPT	0	0	2.91E-06	4.61E-06	7.61E-06	9.61E-06	9.61E-06	1.26E-05	1.60E-05	1.73E-05	2.07E-05	2.64E-05	2.97E-05	3.28E-05	3.55E-05	3.92E-05	4.37E-05	5.07E-05	5.85E-05	6.37E-05	7.33E-05	8.52E-05	9.91E-05	0.000113199	0.00012979	0.000146016	0.000168856	0.000188342	0.000217193	0.000243361	0.00027888	0.000309348	0.00034368	0.000378359	0.000420037	0.000464882	0.000524013	0.000579307	0.000653647	0.000719528	0.000809599	0.000900104	0.001015526	0.001123203	0.001246607	0.001384702	0.00152625	0.001679407	0.001847782	0.002014014	0.002213073	0.002414397	0.002591726	0.002804748	0.00302607	0.003251261	0.003465133	0.00367449	0.003914657	0.004112195	0.00431208	0.004509421	0.004696179	0.004866189	0.005008904	0.005126883	0.005238565	0.005330801	0.005408276	0.005468686	0.005512454		
LG_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St1_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St2_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St3_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St4_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St1_MORT	0	0	0	3.44E-07	7.51E-07	7.51E-07	7.51E-07	7.51E-07	2.36E-06	2.94E-06	4.34E-06	5.58E-06	6.79E-06	7.36E-06	9.68E-06	1.39E-05	1.43E-05	1.51E-05	1.75E-05	1.96E-05	2.09E-05	2.31E-05	2.78E-05	3.52E-05	3.74E-05	4.33E-05	5.22E-05	5.70E-05	6.44E-05	7.15E-05	7.90E-05	8.73E-05	9.88E-05	0.000115259	0.000125799	0.000139099	0.000156007	0.000177256	0.000198327	0.00022224	0.000251186	0.000274843	0.000304108	0.000340106	0.000378768	0.000417643	0.000479863	0.000548226	0.000629346	0.000712424	0.000794813	0.000877788	0.000976107	0.001059121	0.001141849	0.001239989	0.001338645	0.001429102	0.001503097	0.001585618	0.001669471	0.001749879	0.001820564	0.001891799	0.001949911	0.001996318	0.002040487	0.00207514	0.002107161	0.002129295	0.002144926		
HG_St2_MORT	0	6.27E-07	6.27E-07	6.27E-07	6.27E-07	2.57E-06	2.94E-06	3.34E-06	3.83E-06	5.95E-06	8.49E-06	1.13E-05	1.34E-05	1.38E-05	1.56E-05	1.85E-05	1.95E-05	2.10E-05	2.15E-05	2.39E-05	2.60E-05	3.01E-05	3.54E-05	3.62E-05	3.86E-05	4.16E-05	4.92E-05	5.33E-05	5.96E-05	6.61E-05	7.34E-05	7.92E-05	8.76E-05	9.64E-05	0.000108301	0.000124509	0.00013805	0.000159409	0.000178839	0.000199413	0.000225874	0.000249459	0.00027565	0.000304607	0.000333344	0.000364065	0.00040371	0.00046489	0.000510952	0.000573959	0.000630093	0.000695375	0.000753353	0.000813541	0.000874277	0.000938673	0.001001074	0.0010706	0.001124899	0.001192691	0.001253595	0.001307794	0.001358878	0.001409009	0.001453119	0.001490218	0.001529251	0.001556924	0.001574515	0.00159209	0.001601614		
HG_St3_MORT	0	0	0	5.24E-07	5.24E-07	9.82E-07	1.48E-06	1.48E-06	1.85E-06	2.77E-06	2.77E-06	3.16E-06	3.57E-06	4.25E-06	6.43E-06	6.43E-06	7.66E-06	8.41E-06	9.11E-06	1.10E-05	1.29E-05	1.34E-05	1.67E-05	1.89E-05	2.32E-05	2.75E-05	2.96E-05	3.43E-05	3.69E-05	3.99E-05	4.29E-05	4.73E-05	5.35E-05	5.99E-05	6.67E-05	7.18E-05	8.45E-05	9.41E-05	0.000108145	0.000123493	0.000137986	0.000153383	0.000167171	0.000187752	0.000210815	0.000229341	0.000252242	0.00028285	0.000316744	0.000355189	0.000382294	0.000420538	0.000455182	0.000498298	0.000536064	0.000569237	0.000614887	0.00064948	0.000698529	0.000737711	0.000770851	0.000811335	0.000845492	0.000878709	0.000901283	0.000928139	0.000949856	0.00096415	0.000974277	0.00098363	0.000993594		
HG_St4_MORT	0	0	4.39E-07	1.47E-06	3.54E-06	6.06E-06	6.06E-06	8.01E-06	9.30E-06	1.15E-05	1.35E-05	1.97E-05	2.20E-05	2.57E-05	2.74E-05	2.98E-05	3.31E-05	3.72E-05	4.26E-05	4.72E-05	5.79E-05	6.60E-05	7.53E-05	8.94E-05	0.000102113	0.000116949	0.000136812	0.000154057	0.000174603	0.000192746	0.000222538	0.000251653	0.000282047	0.000313668	0.000346347	0.000380793	0.000426037	0.00047023	0.000534581	0.000587902	0.00066604	0.000730454	0.00082401	0.000912579	0.001009833	0.001126842	0.00125937	0.001376624	0.001515486	0.001647014	0.001815579	0.00198045	0.002139638	0.0023052	0.002489623	0.002681684	0.00287482	0.003055736	0.003251785	0.003409857	0.003570194	0.003743453	0.003906909	0.004042835	0.004166515	0.004259273	0.004358645	0.00443984	0.00450786	0.004557356	0.004599263		
Die_TURBT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Invite_DS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Respond_DS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
