1	2	3	4	5	6	7	8	9	10
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.027795527	0.028590207	0.029431664	0.030324155	0.031272466
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.027795527	0.028590207	0.029431664	0.030324155	0.031272466
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.027795527	0.028590207	0.029431664	0.030324155	0.031272466
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.027795527	0.028590207	0.029431664	0.030324155	0.031272466
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.027795527	0.028590207	0.029431664	0.030324155	0.031272466
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.189	0.095622688	0.105733179	0.118234487	0.134088355	0.025319489	0.025977219	0.026670032	0.027400813	0.028172769
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.166	0.097751799	0.10834247	0.121506819	0.138312762	0.025280567	0.02593625	0.026626851	0.027355235	0.028124589
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.218	0.085358056	0.093324013	0.102929838	0.114740009	0.027805825	0.028601103	0.029443211	0.030336412	0.031285502
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.245	0.091059603	0.100182149	0.111336032	0.125284738	0.027791667	0.028586123	0.029427336	0.03031956	0.031267579
0.402	0.117056856	0.132575758	0.152838428	0.180412371	0.027798742	0.028593608	0.029435269	0.030327981	0.031276536
0.402	0.117056856	0.132575758	0.152838428	0.180412371	0.027798742	0.028593608	0.029435269	0.030327981	0.031276536
