1	2	3	4	5	6	7	8	9	10				1	2	3	4	5	6	7	8	9	10
47	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		47	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
48	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		48	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
49	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		49	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
50	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		50	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
51	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		51	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
52	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		52	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
53	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		53	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
54	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68		54	0.024	0.028432377	0.029264434	0.030146659	0.03108373	0.013456647	0.013640199	0.013828827	0.014022745	0.014222179
55	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		55	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
56	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		56	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
57	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		57	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
58	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		58	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
59	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		59	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
60	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		60	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
61	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		61	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
62	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		62	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
63	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		63	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
64	97.8	94.975	92.15	89.325	86.5	85.368	84.236	83.104	81.972	80.84		64	0.022	0.028885481	0.02974467	0.030656538	0.031626085	0.013086705	0.013260238	0.013438435	0.013621486	0.013809594
65	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		65	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
66	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		66	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
67	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		67	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
68	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		68	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
69	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		69	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
70	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		70	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
71	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		71	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
72	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		72	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
73	94.7	91.275	87.85	84.425	81	79.94	78.88	77.82	76.76	75.7		73	0.053	0.036166843	0.037523966	0.03898691	0.040568552	0.01308642	0.013259945	0.013438134	0.013621177	0.013809276
