"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"26"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"27"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"28"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"29"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"30"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"31"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"32"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"33"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"34"	92.3	90.85	89.4	87.95	86.5	84.458	82.416	80.374	78.332	76.29
"35"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"36"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"37"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"38"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"39"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"40"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"41"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"42"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"43"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"44"	92.3	89.635	86.97	84.305	81.64	80.57	79.5	78.43	77.36	76.29
"45"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"46"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"47"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"48"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"49"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"50"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"51"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"52"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"53"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
"54"	97.6	94.825	92.05	89.275	86.5	85.336	84.172	83.008	81.844	80.68
