"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"77"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"78"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"79"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"80"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"81"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"82"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"83"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"84"	55.5	48.45	41.4	34.35	27.3	26.942	26.584	26.226	25.868	25.51
"85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"26"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"27"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"28"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"29"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"30"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"31"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"32"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"33"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"34"	80.48	74.835	69.19	63.545	57.9	56.29	54.68	53.07	51.46	49.85
"35"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"36"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"37"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"38"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"39"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"40"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"41"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"42"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"43"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"44"	80.48	74.835	69.19	63.545	57.9	56.414	54.928	53.442	51.956	50.47
"45"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"46"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"47"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"48"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"49"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"50"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"51"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"52"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"53"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"54"	85	78.225	71.45	64.675	57.9	56.54	55.18	53.82	52.46	51.1
"55"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"56"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"57"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"58"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"59"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"60"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"61"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"62"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"63"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"64"	85.6	78.675	71.75	64.825	57.9	55.738	53.576	51.414	49.252	47.09
"65"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"66"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"67"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"68"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"69"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"70"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"71"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"72"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"73"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"74"	80.62	74.14	67.66	61.18	54.7	53.056	51.412	49.768	48.124	46.48
"75"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"76"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"77"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"78"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"79"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"80"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"81"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"82"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"83"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"84"	64.3	61.7225	59.145	56.5675	53.99	49.046	44.102	39.158	34.214	29.27
"85"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"86"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"91"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
