"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"26"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"27"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"28"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"29"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"30"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"31"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"32"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"33"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"34"	36	29.075	22.15	15.225	8.3	8.192	8.084	7.976	7.868	7.76
"35"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"36"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"37"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"38"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"39"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"40"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"41"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"42"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"43"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"44"	36	29.805	23.61	17.415	11.22	10.528	9.836	9.144	8.452	7.76
"45"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"46"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"47"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"48"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"49"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"50"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"51"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"52"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"53"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"54"	37.3	30.05	22.8	15.55	8.3	8.192	8.084	7.976	7.868	7.76
"55"	38.7	31.1	23.5	15.9	8.3	8.192	8.084	7.976	7.868	7.76
