"","mult.smoke","mult.past.smoke","predict_smoke","predict_past.smoke"
"1",1.36043594129632,1.12070006854647,3.46600968529839,2.14743509280304
"2",1.77445875403644,1.02896618550758,3.46819686715738,1.97472935067843
"3",1.33248227558944,1.06593911644471,3.4679478764127,2.04088294041435
"4",1.02336444513868,1.06302492109823,3.46670595080368,2.03468987408334
"5",1.83278306059513,1.11556769117955,3.4692603240786,2.13901647565257
"6",1.25719782879975,1.09210976572147,3.46386816894011,2.09400751404392
"7",1.0433232903041,1.12128879717775,3.46633162252706,2.14836799219501
"8",1.68237394074299,1.11366721076333,3.46797192500098,2.13409735643569
"9",1.42880303719804,1.08597586237383,3.46551664569081,2.08038936586623
"10",1.4806518174651,1.09906148848771,3.46670190274841,2.11056812298089
"11",1.13004860795338,1.02752917183363,3.46755061490488,1.97147597640696
"12",1.19705843021817,1.00967897910495,3.46546977554344,1.93578170547818
"13",1.7362916555369,1.08251250007582,3.46495554765225,2.07450146827433
"14",1.12853216757874,1.0362916820571,3.46994578742772,1.98881851712098
"15",1.7913543256935,1.02870993294506,3.46819686715738,1.97372080657696
"16",1.85508480282911,1.07223134733883,3.46632554195199,2.05350453897026
"17",1.25413892305477,1.00508935159851,3.46565099106672,1.9268940695244
"18",1.18471292215872,1.00490606074853,3.46599463519077,1.92622553137902
"19",1.43534296430911,1.09314894202304,3.4641410315526,2.09638498291826
"20",1.30007452054776,1.06259820368886,3.46670595080368,2.03401260359185
"21",1.09007048733408,1.07484565724315,3.46556629634328,2.0587101953778
"22",1.61249863416881,1.11820987660817,3.46677673565172,2.14299775675401
"23",1.24088173082643,1.03190648389203,3.46873932782808,1.97981076509003
"24",1.8322052987755,1.0417846158874,3.4677026993276,1.99731861631604
"25",1.90352863979851,1.03870120435876,3.46853058695485,1.99189426238705
"26",1.25396074192222,1.09484722768157,3.46474953235679,2.09965057158911
"27",1.03879138440094,1.05777276972939,3.46517985648882,2.02215046362674
"28",1.19871611423626,1.06824683630681,3.46649314720916,2.04455032147618
"29",1.54325859206677,1.01301134031471,3.46531844698087,1.94381765601604
"30",1.07302953912647,1.05430307283751,3.46628365208973,2.01765639135246
