"","P.onset","P.onset_low.risk","P.onset_age","RR.onset_sex","P.sympt.diag_LGBC","P.sympt.diag_A_HGBC","P.sympt.diag_B_HGBC","P.sympt.diag_Age80_HGBC","shape.t.StI.StII","shape.t.StII.StIII","shape.t.StIII.StIV","P.LGtoHGBC"
"1",0.0001204692,0.2351420316,1.2054173748,2.2346371776,0.0398599932,0.0336191676,1.269654594,1.052662866,1.6107426144,1.2824754936,1.7000969136,0.00576
"2",0.0001104301,0.2155468623,1.1,2.0484174128,0.0365383271,0.0308175703,1.1638500445,0.9649409605,1.4765140632,1.1756025358,1.5,0.00528
"3",0.00010908026132532,0.216094837530707,1.1,1.99044065570668,0.0385577946151063,0.0386858956245093,1.2124419670925,0.949056568288593,1.45533915295166,1.1996396985169,1.47757371640165,0.00522837033383926
"4",0.000107270960877646,0.215369495605516,1.1,1.93777888026433,0.0394052485094195,0.04455369423765,1.25550536072002,0.964213910517172,1.41544718302403,1.17840347817038,1.44153347027594,0.00523162252098963
"5",0.000108896535129411,0.220795517765095,1.1,1.87743685160218,0.0403481268307092,0.0516037450955324,1.25227462844994,0.959533468222255,1.41349040966734,1.18723039001202,1.40801101928112,0.00542263255644612
"6",0.000109422049430413,0.219243529798006,1.1,1.83573288042765,0.0417130070486963,0.0570090660279999,1.29306857232257,0.991460255088647,1.41078557164619,1.19440817186937,1.36989061008059,0.00546871581102913
"7",0.000109422049430413,0.219243529798006,1.1,1.83573288042765,0.0417130070486963,0.0570090660279999,1.29306857232257,0.991460255088647,1.41078557164619,1.19440817186937,1.36989061008059,0.00546871581102913
"8",0.000111673232255706,0.221044858185035,1.1,1.83385752669357,0.0440497545867767,0.0619311882751552,1.25072362113327,0.993380667836557,1.3706466809263,1.20370978255757,1.33769755752145,0.0054791195339789
"9",0.000113096278061521,0.219384257307673,1.1,1.77514705085435,0.0450294791552852,0.0678989620128123,1.26354988679952,1,1.34369705479054,1.18656883523413,1.28780983047701,0.00567580255063341
"10",0.000115028577677704,0.222387648855257,1.1,1.76765694672568,0.0462563022739792,0.0721984438822327,1.23665798097952,1,1.32580286716693,1.18823436898151,1.27560679733663,0.0057615441247757
"11",0.000115028577677704,0.222387648855257,1.1,1.76765694672568,0.0462563022739792,0.0721984438822327,1.23665798097952,1,1.32580286716693,1.18823436898151,1.27560679733663,0.0057615441247757
"12",0.000117687311677549,0.226329553034616,1.1,1.70853205852048,0.0464949654052679,0.0749226237131742,1.23477564491315,1,1.34903916451078,1.16801648955302,1.22660663580342,0.00570756000643504
"13",0.000117687311677549,0.226329553034616,1.1,1.70853205852048,0.0464949654052679,0.0749226237131742,1.23477564491315,1,1.34903916451078,1.16801648955302,1.22660663580342,0.00570756000643504
"14",0.000117687311677549,0.226329553034616,1.1,1.70853205852048,0.0464949654052679,0.0749226237131742,1.23477564491315,1,1.34903916451078,1.16801648955302,1.22660663580342,0.00570756000643504
"15",0.000117687311677549,0.226329553034616,1.1,1.70853205852048,0.0464949654052679,0.0749226237131742,1.23477564491315,1,1.34903916451078,1.16801648955302,1.22660663580342,0.00570756000643504
"16",0.000119895547488784,0.225766013904906,1.1,1.61992822351369,0.0464927552140868,0.0776585568596763,1.24801367084004,1,1.30360499864174,1.17910373216361,1.19199736142307,0.00559339780410933
"17",0.000120615204740344,0.220194616650991,1.1,1.5917380315292,0.0465112755718662,0.0784208374058677,1.27058590247124,1,1.28311912376755,1.19270007600262,1.17830705141438,0.00552565634291092
"18",0.000119048694253192,0.220785534241899,1.1,1.58243722922354,0.0472423533646158,0.0817045005887565,1.29331972139351,1,1.28773928483509,1.17957322522625,1.13899493617096,0.00562892941321694
"19",0.000119048694253192,0.220785534241899,1.1,1.58243722922354,0.0472423533646158,0.0817045005887565,1.29331972139351,1,1.28773928483509,1.17957322522625,1.13899493617096,0.00562892941321694
"20",0.000119048694253192,0.220785534241899,1.1,1.58243722922354,0.0472423533646158,0.0817045005887565,1.29331972139351,1,1.28773928483509,1.17957322522625,1.13899493617096,0.00562892941321694
"21",0.000119048694253192,0.220785534241899,1.1,1.58243722922354,0.0472423533646158,0.0817045005887565,1.29331972139351,1,1.28773928483509,1.17957322522625,1.13899493617096,0.00562892941321694
"22",0.000118692851316585,0.222511657257835,1.1,1.5100636294378,0.0461111031374479,0.0868287551057627,1.2477521781245,1,1.26963677796573,1.18768690707076,1.18842916593428,0.00559169827491497
"23",0.000118692851316585,0.222511657257835,1.1,1.5100636294378,0.0461111031374479,0.0868287551057627,1.2477521781245,1,1.26963677796573,1.18768690707076,1.18842916593428,0.00559169827491497
"24",0.000118692851316585,0.222511657257835,1.1,1.5100636294378,0.0461111031374479,0.0868287551057627,1.2477521781245,1,1.26963677796573,1.18768690707076,1.18842916593428,0.00559169827491497
"25",0.000118692851316585,0.222511657257835,1.1,1.5100636294378,0.0461111031374479,0.0868287551057627,1.2477521781245,1,1.26963677796573,1.18768690707076,1.18842916593428,0.00559169827491497
"26",0.000118497392339424,0.217241721421804,1.1,1.4541425197366,0.0478462908211302,0.0898463617496657,1.25854677862584,1,1.22272561626288,1.20343047568955,1.17065657557529,0.00544753187426876
"27",0.000118507934841363,0.214912620251908,1.1,1.45340250012701,0.0479714204352619,0.0919543125595773,1.24073342085525,0.991647944807121,1.22050217511318,1.24444993863395,1.18720476775247,0.00527470118072267
"28",0.000118507934841363,0.214912620251908,1.1,1.45340250012701,0.0479714204352619,0.0919543125595773,1.24073342085525,0.991647944807121,1.22050217511318,1.24444993863395,1.18720476775247,0.00527470118072267
