"","RR_smoke","RR_past.smoke","RR_smoke_predict","RR_past.smoke_predict"
"1",2.5,1.2,1.01689740878889,1.15231817945437
"2",2.525,1.212,1.02626636744255,1.161024857297
"3",2.55025,1.22412,1.03682125870672,1.17236128806044
"4",2.5757525,1.2363612,1.04462005519712,1.18205528163191
"5",2.601510025,1.248724812,1.05384785319444,1.19311330350364
"6",2.62752512525,1.26121206012,1.06203547785302,1.20321974318692
"7",2.6538003765025,1.2738241807212,1.0695742484258,1.2147313363017
"8",2.68033838026753,1.28656242252841,1.07766841255471,1.22515927711074
"9",2.7071417640702,1.2994280467537,1.08768333691019,1.2377766035291
"10",2.7342131817109,1.31242232722123,1.09652434971584,1.24857552082387
"11",2.76155531352801,1.32554655049345,1.10823465965527,1.26001992020619
"12",2.78917086666329,1.33880201599838,1.11841371871856,1.269751345673
"13",2.81706257532992,1.35219003615836,1.1264488581485,1.28001434893536
"14",2.84523320108322,1.36571193651995,1.13802466983997,1.29082471727987
"15",2.87368553309406,1.37936905588515,1.14904859208618,1.3020700617714
"16",2.902422388425,1.393162746444,1.15976151966545,1.31341487343199
"17",2.93144661230925,1.40709437390844,1.16868719101027,1.32188380628684
"18",2.96076107843234,1.42116531764752,1.17975508996593,1.33520239867643
"19",2.99036868921666,1.435376970824,1.1884296570615,1.34732055752779
"20",3.02027237610883,1.44973074053224,1.20011152075311,1.36069055252977
"21",3.05047509986992,1.44973074053224,1.20593746796829,1.3608172138243
"22",3.08097985086862,1.46422804793756,1.2149759271161,1.37370200425648
"23",3.1117896493773,1.47887032841694,1.22551120011555,1.38591621794524
"24",3.14290754587108,1.49365903170111,1.23562520363092,1.39925924737287
"25",3.17433662132979,1.50859562201812,1.2464344308477,1.41183210290451
"26",3.20607998754309,1.5236815782383,1.26010908094736,1.42682829892724
"27",3.23814078741852,1.53891839402068,1.27222575594481,1.44139869087124
"28",3.2705221952927,1.55430757796089,1.28344233428444,1.45415967381123
"29",3.30322741724563,1.5698506537405,1.29685303250981,1.46893352358207
"30",3.33625969141808,1.5855491602779,1.30749152754225,1.47920449631408
"31",3.36962228833227,1.60140465188068,1.31739851186283,1.49183431558576
"32",3.40331851121559,1.61741869839949,1.32913573457736,1.50426379733771
"33",3.43735169632774,1.63359288538348,1.34278786255011,1.51499972058688
"34",3.47172521329102,1.64992881423732,1.35527078971629,1.52953957661102
"35",3.50644246542393,1.66642810237969,1.36639708463601,1.5444496059722
"36",3.54150689007817,1.68309238340349,1.37920436673563,1.55864438503872
"37",3.57692195897895,1.69992330723752,1.39404134370866,1.57136207799807
"38",3.61269117856874,1.7169225403099,0,0
"39",0,0,0,0
"40",0,0,0,0
"41",0,0,0,0
"42",0,0,0,0
"43",0,0,0,0
"44",0,0,0,0
"45",0,0,0,0
"46",0,0,0,0
"47",0,0,0,0
"48",0,0,0,0
"49",0,0,0,0
"50",0,0,0,0
"51",0,0,0,0
"52",0,0,0,0
"53",0,0,0,0
"54",0,0,0,0
"55",0,0,0,0
"56",0,0,0,0
"57",0,0,0,0
"58",0,0,0,0
"59",0,0,0,0
"60",0,0,0,0
"61",0,0,0,0
"62",0,0,0,0
"63",0,0,0,0
"64",0,0,0,0
"65",0,0,0,0
"66",0,0,0,0
"67",0,0,0,0
"68",0,0,0,0
"69",0,0,0,0
"70",0,0,0,0
"71",0,0,0,0
"72",0,0,0,0
"73",0,0,0,0
"74",0,0,0,0
"75",0,0,0,0
"76",0,0,0,0
"77",0,0,0,0
"78",0,0,0,0
"79",0,0,0,0
"80",0,0,0,0
"81",0,0,0,0
"82",0,0,0,0
"83",0,0,0,0
"84",0,0,0,0
"85",0,0,0,0
"86",0,0,0,0
"87",0,0,0,0
"88",0,0,0,0
"89",0,0,0,0
"90",0,0,0,0
"91",0,0,0,0
"92",0,0,0,0
"93",0,0,0,0
"94",0,0,0,0
"95",0,0,0,0
"96",0,0,0,0
"97",0,0,0,0
"98",0,0,0,0
"99",0,0,0,0
"100",0,0,0,0
