"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70"
"TOTAL_COSTS" 0 0 0 0 0 0 0 0.204741836553743 0.41703120582516 0.700364871629268 1.20738414575367 1.70440673675963 2.5266278147068 3.44234439694606 4.00577924192146 4.37923891045704 4.72285349684736 5.02862437764809 5.47289632900993 5.98684704775663 6.62283234191148 7.37125506341082 8.05599548158 9.02284576668819 10.1361543595079 11.1892802318058 12.2923288275762 13.6451963321269 14.9258757628794 16.0246477087766 17.109142026844 25.5863527036204 36.3182096251792 47.4935012929815 58.8620683402715 70.9846778517351 82.8753223858173 94.2212118876866 105.792403708767 117.424167000129 128.527430736025 139.517493906214 150.511677846052 161.265611110126 172.063496148263 183.045955875637 193.913679179422 204.953973739139 215.901692414373 226.376387430417 236.759544634863 246.67721697632 256.05502418663 264.980561051334 273.68012248684 282.390911819293 290.676730682351 298.721299345839 306.516499021011 313.594497039359 319.895173517003 325.803344685554 331.385856148774 336.690000179706 341.911632083244 346.924154847533 351.256846179145 354.767703962399 357.701765265639 360.283252527657 362.589299500016
"Cancer_COSTS" 0 0 0 0 0 0 0 0.204741836553743 0.41703120582516 0.700364871629268 1.20738414575367 1.70440673675963 2.5266278147068 3.44234439694606 4.00577924192146 4.37923891045704 4.72285349684736 5.02862437764809 5.47289632900993 5.98684704775663 6.62283234191148 7.37125506341082 8.05599548158 9.02284576668819 10.1361543595079 11.1892802318058 12.2923288275762 13.6451963321269 14.9258757628794 16.0246477087766 17.109142026844 18.3725003067045 20.1384000537814 21.963754375608 23.8625220427359 26.5085530800722 29.1285702293274 31.4562761118913 34.1824707220247 37.26068506465 40.207828600564 43.3750547458634 46.9358687889918 50.6045707614896 54.7205390810042 59.2992732446203 64.1520382828018 69.4822412143906 75.0979002892113 80.6010063352369 86.3785927497084 92.0386557232226 97.5329618346326 102.94302008168 108.450055944956 114.26809145429 119.953332849519 125.707926607442 131.4609092412 136.819961302269 141.71367770128 146.426807342813 151.019079543714 155.509708367433 160.044348672944 164.517706027538 168.44879465451 171.656587148082 174.378275776832 176.811079050794 179.018428815827
"DIAG_COSTS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19.0881658091164 42.2559610313929 67.3748647958202 93.6817584234756 120.944143823114 148.528199554268 176.292473336785 204.512646520793 232.753052107266 260.596129390627 288.265279681121 315.473516103783 342.31978729337 368.488713976865 394.502926649724 419.781563524855 444.644935706796 468.666982687638 491.865640857456 514.114928410416 535.419689909486 555.524049331708 574.349630251532 592.041627457026 608.646369736323 624.108261616917 638.181460642262 651.21534992844 662.541337309882 672.09167227239 680.511569049816 687.737354808889 693.875545835021 699.28623842419 703.700464726331 707.099351565955 709.760536498835 711.686995150846 713.091502920886 714.060853402015
"SCREEN_COSTS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.64312642997374 1.90371334241696 3.18187398932724 4.48401290042676 5.78250656105583 7.05837213908575 8.30168146447835 9.51137380836214 10.6825276023442 11.8062530507349 12.8769494169609 13.8951857717027 14.8646782183768 15.7867536101995 16.6583164541519 17.4793271554746 18.2535501709376 18.9780261911016 19.6504342002421 20.2721949730095 20.8441140608289 21.3672068446894 21.8424316095355 22.2743922082842 22.6638460235281 23.0122437704479 23.3216363859143 23.5915677014508 23.8225393401449 24.01723427957 24.1796441613058 24.3136673162431 24.4244365546982 24.5129194451347 24.5803131850598 24.6309429612588 24.6685039138754 24.695174876956 24.7130491467002 24.7245182677038
"QALYS" 0 0.403436692657405 0.403436692657405 0.403436692657405 0.403436692657405 0.403436692657405 0.403436692657405 0.403436692657405 0.403342105324093 0.403122471880068 0.402893569515529 0.402579062435247 0.402193552227338 0.401858179177653 0.401499366828793 0.401078909078569 0.400644305867298 0.400132923779097 0.399467232328235 0.398743406268457 0.398034407259949 0.397304577828308 0.396572161665006 0.395905770406032 0.395275165735298 0.394631368837909 0.393989828600859 0.393391062148376 0.392836913308658 0.392251143848429 0.391582538033068 0.390921341412808 0.390320921624271 0.389782994718248 0.389333121431851 0.388993774806733 0.388701115329087 0.388386136457165 0.388093436020056 0.387892182383888 0.387754026638799 0.387678737239935 0.387693836412066 0.387755581362387 0.3878817094416 0.388094913722399 0.388367069307174 0.388686696452179 0.389080307082955 0.389506966772522 0.389950246957774 0.390412210303181 0.390872483283443 0.391323343631998 0.39178471124764 0.392275453674742 0.392783834160106 0.393314071654012 0.393836345637743 0.394354114381192 0.394858138719458 0.395298963866186 0.395678803993188 0.3960329156942 0.396394583174507 0.396737965596994 0.397021086130214 0.397265659282421 0.397484441800574 0.39766332502706 0.397799325346667
"LYS" 0 0.965952349542076 1.89875915576156 2.79945214249051 3.66917978404542 4.50898478701885 5.31988438981303 6.10283219236517 6.85867290174084 7.58820840948919 8.2921860387592 8.97163703496187 9.62723381986081 10.2596804692411 10.8698688361017 11.4585196767855 12.0263184897823 12.5738605216979 13.1018791104613 13.6108198820613 14.1011803785203 14.5736937519334 15.0288844474199 15.46724175917 15.8894261904775 16.2960172344771 16.687376174089 17.0638462786991 17.4259721122469 17.774300905628 18.1089682037869 18.4302682157623 18.7386763196687 19.0346679746318 19.3186368868335 19.5907332650286 19.8512937111912 20.100591453919 20.3389437577172 20.5666522082105 20.783934183642 20.9910390110652 21.188132086941 21.3754759546617 21.5532546409754 21.7216626829425 21.8806794285864 22.0303398147744 22.1707324743272 22.3018614727033 22.4239584536433 22.5373687240926 22.6423430797014 22.7388898172431 22.8270158706346 22.9072095346289 22.9796007223432 23.0440603031576 23.10098403159 23.1505760500052 23.193178361714 23.2294671833674 23.2599676733956 23.2851094514963 23.3055137671554 23.3218164895837 23.3345271075157 23.3441595029638 23.3513221569265 23.3565347578766 23.3602362475914
"LG_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 4.09235252935663e-05 0.000148600164032498 0.000148600164032498 0.000148600164032498 0.000148600164032498 0.000148600164032498 0.000148600164032498 0.000148600164032498 0.000148600164032498 0.000148600164032498 0.00023391747379849 0.000353108839293654 0.000513937359513025 0.000513937359513025 0.000513937359513025 0.000556082220780888 0.000596085712106512 0.000596085712106512 0.000596085712106512 0.000596085712106512 0.000706004047956619 0.000799152538594909 0.00089505157989025 0.00119048959305399 0.00133277338741581 0.0013727230415114 0.00178436504985251 0.00195616991165633 0.00204092931388971 0.0022431232652535 0.00241769918726528 0.00283054533859509 0.00320047494231741 0.00354885226179124 0.00381849536840625 0.00410213468259095 0.00436450425720126 0.00484364363365565 0.00535253256407023 0.00566447800982822 0.00621609184559916 0.00661318300721249 0.00698037618501439 0.00754066740509346 0.00846608525291679 0.00864653013799802 0.00911443365957421 0.00975192723032293 0.0104812378905292 0.0109566460359163 0.0116108052451446 0.0120261476860658 0.012704700157408 0.0130574198368378 0.0134319934347607 0.0135464458611162 0.0140623863448313 0.014178669899734 0.0144228001935096 0.0146318632784323
"HG_St1_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.09857671800427e-05 4.09857671800427e-05 4.09857671800427e-05 0.000126503271206171 0.000126503271206171 0.000126503271206171 0.000126503271206171 0.000156372626814257 0.000156372626814257 0.000178794477808293 0.000178794477808293 0.000244575775371628 0.000287769798251432 0.000287769798251432 0.000287769798251432 0.000287769798251432 0.000341196861102714 0.000341196861102714 0.000462204151470532 0.00051433950565794 0.000562879528718953 0.000562879528718953 0.000562879528718953 0.000562879528718953 0.000562879528718953 0.000610834171901807 0.000781615529768252 0.000869987302273845 0.000953366537351705 0.000953366537351705 0.00112466346627999 0.00126801754700931 0.00130962161222803 0.00143816355497426 0.00179400289534882 0.001937565071154 0.0019885547830699 0.0023073234867773 0.00266586457692672 0.0030577662158635 0.00327134181994756 0.003767846084669 0.00408417703029075 0.00440579714784352 0.00456492656602015 0.00492316461733886 0.00548311743958457 0.00583126858281421 0.00617208918435275 0.00646160586564552 0.00692653482627955 0.00721605150757232 0.00750556818886509 0.0078786000188204
"HG_St2_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.56094216816785e-05 9.1218843363357e-05 0.000188965093736284 0.000234574515417963 0.000280183937099641 0.00032579335878132 0.000371402780462998 0.000417012202144677 0.000462621623826355 0.000508231045508034 0.000553840467189712 0.000599449888871391 0.000645059310553069 0.000690668732234748 0.000736278153916426 0.000781887575598105 0.000914781118057576 0.00105712074668336 0.00110273016836504 0.00114833959004672 0.00123648018708159 0.00133141557367466 0.00142284192929382 0.00157822898490053 0.00170414732013971 0.00179607710933569 0.00195198860598997 0.00210790010264426 0.00231613044274357 0.00257051787301065 0.00282758647188483 0.00317088925902693 0.00363807498436951 0.00403154692675124 0.00442109491399342 0.00485242288363349 0.00533195145161554 0.00576163297679864 0.00619700014255629 0.00658654812979847 0.00701787930844987 0.00749670967180763 0.00797554003516538 0.00852102015506204 0.00904193136400998 0.00956284257295792 0.0102108802894694 0.0108364961549869
"HG_St3_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 4.73893903670674e-05 8.4700231582044e-05 8.4700231582044e-05 8.4700231582044e-05 8.4700231582044e-05 8.4700231582044e-05 0.000127673636374781 0.000166440708477022 0.000166440708477022 0.000227862358931124 0.000227862358931124 0.000227862358931124 0.000227862358931124 0.000227862358931124 0.000347939731434014 0.000413534104293545 0.000479128477153076 0.000585385892224566 0.000768402989248718 0.000991931684238848 0.00126106937991069 0.00162648633544805 0.00203447692519129 0.00244048658835057 0.00287461839379474 0.00330875019923891
