"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "41" "42" "43" "44" "45" "46" "47" "48" "49" "50" "51" "52" "53" "54" "55" "56" "57" "58" "59" "60" "61" "62" "63" "64" "65" "66" "67" "68" "69" "70"
"TOTAL_COSTS" 0 0 0 0 0 0 0.102467061215123 0.269596060614819 0.580934768845183 0.945259839349257 1.16528989052923 1.25921888559242 1.34003903964665 1.46757207615453 1.55241545072875 1.67609360011972 1.81473885231744 2.02049215872188 2.23855759320251 2.3577258317716 2.54682265721596 2.86836090356206 3.26534048248006 3.57569511968169 3.80499736024896 4.04431027973711 4.23050459910822 4.3337728932926 4.36434580343034 4.36714232001974 4.43662843674751 4.62931433333398 4.83329192459524 4.95125656496682 5.0793843174288 5.22350018646102 5.44522666273264 5.68429093551169 5.92248942258646 6.17677278028478 6.33723501633341 6.47819503182763 6.6124050413428 6.73325217407931 6.88068490496145 7.01420562243949 7.10561562482118 7.18339909470002 7.23970070932663 7.27346899566161 7.33123858151435 7.45250295011897 7.65999463605725 7.88221540643789 8.04362337985512 8.19731034087133 8.34535192080299 8.42837525850044 8.4637212450962 8.50051171946332 8.53235768308029 8.55299110583447 8.56170134439277 8.56170134439277 8.56170134439277 8.56170134439277 8.57443524954781 8.59452916807632 8.60789696596665 8.61354007763121 8.61354007763121
"BC_COSTS" 0 0 0 0 0 0 0.102467061215123 0.269596060614819 0.580934768845183 0.945259839349257 1.16528989052923 1.25921888559242 1.34003903964665 1.46757207615453 1.55241545072875 1.67609360011972 1.81473885231744 2.02049215872188 2.23855759320251 2.3577258317716 2.54682265721596 2.86836090356206 3.26534048248006 3.57569511968169 3.80499736024896 4.04431027973711 4.23050459910822 4.3337728932926 4.36434580343034 4.36714232001974 4.43662843674751 4.62931433333398 4.83329192459524 4.95125656496682 5.0793843174288 5.22350018646102 5.44522666273264 5.68429093551169 5.92248942258646 6.17677278028478 6.33723501633341 6.47819503182763 6.6124050413428 6.73325217407931 6.88068490496145 7.01420562243949 7.10561562482118 7.18339909470002 7.23970070932663 7.27346899566161 7.33123858151435 7.45250295011897 7.65999463605725 7.88221540643789 8.04362337985512 8.19731034087133 8.34535192080299 8.42837525850044 8.4637212450962 8.50051171946332 8.53235768308029 8.55299110583447 8.56170134439277 8.56170134439277 8.56170134439277 8.56170134439277 8.57443524954781 8.59452916807632 8.60789696596665 8.61354007763121 8.61354007763121
"SCREEN_COSTS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"QALYS" 0 0.80654020006762 1.58386132784723 2.3317724701258 3.05121446093377 3.74317521730994 4.4087462968532 5.04885092687538 5.66437867371517 6.25633844833478 6.82569795155066 7.37320999002172 7.89958558468973 8.40550225234868 8.89174186522977 9.35874904886101 9.80703407444918 10.237525505587 10.6507670171161 11.0473271132019 11.4278814903024 11.7929073120163 12.1428847317042 12.4784718265397 12.8001944362207 13.1085554485853 13.4040812157065 13.6871471090994 13.9581683751399 14.2175439878709 14.4655473959216 14.7024056804801 14.9286002325689 15.1445489722606 15.3504730866101 15.5469088773347 15.7341564473754 15.9124458412529 16.0821159801214 16.2434508081784 16.396621864006 16.5418337382175 16.6794681037324 16.8097463491193 16.9327311859272 17.0486261654276 17.1577033409936 17.259906548437 17.355409111919 17.4442706624279 17.5265860315715 17.6027795432049 17.6728868681879 17.7369459900413 17.7952594610795 17.8479980717322 17.8953995627773 17.9377256142543 17.9749746020514 18.0073319220279 18.0351980129402 18.058885978297 18.0787509750043 18.0952429968562 18.1087032396731 18.1193898709673 18.1277577927692 18.134194256039 18.1390001364623 18.1425773551203 18.1452532831207
"LYS" 0 0.96580294698792 1.89816549022013 2.79824038977676 3.66703141871879 4.5055933808428 5.31511680860899 6.09653311871402 6.85075646972551 7.57892094834499 8.28199038045333 8.9606179911357 9.6155712579142 10.2476402435534 10.8576714206517 11.4461088427875 12.0134087852328 12.5605202517891 13.088003903739 13.5964582764359 14.0865956547361 14.5588930851181 15.0138325221781 15.4521449368591 15.8744081934189 16.2811459194367 16.6728222456433 17.0497596233789 17.4124207153656 17.7611764260513 18.0963300217736 18.4180762157402 18.7268537825358 19.023117167327 19.3071378378422 19.5795686893568 19.8406914829191 20.0906320843757 20.3297019508604 20.5582452713564 20.7764885418241 20.9845524495476 21.1827906773796 21.3715838564896 21.5508591856653 21.7207490820375 21.8816439960722 22.0332843452395 22.1757899803207 22.3092068916482 22.4335600201448 22.5494003302767 22.6567760668588 22.7555361497523 22.8459751696024 22.9283028073619 23.0027283480964 23.0696546597391 23.1289964649445 23.1807565704897 23.2255241683623 23.2638550784739 23.2962220683766 23.3232596248988 23.3454930450943 23.3633139029243 23.37738891739 23.3882963018861 23.3965242143728 23.4027255053201 23.4073854582079
"LG_SYMPT" 0 0 0 0 0 0 6.03135337621607e-05 6.03135337621607e-05 0.000182173610600673 0.000182173610600673 0.000182173610600673 0.000182173610600673 0.000240651577682134 0.000240651577682134 0.000240651577682134 0.000311136401373815 0.000311136401373815 0.000408688496598995 0.000408688496598995 0.000408688496598995 0.000540926513672132 0.000642033049456373 0.00073337251350486 0.00073337251350486 0.000831685659221551 0.000894972530183974 0.000894972530183974 0.000894972530183974 0.000894972530183974 0.000894972530183974 0.000988361789372033 0.00110387059990607 0.00110387059990607 0.00110387059990607 0.00124472456162794 0.00124472456162794 0.0014526454087823 0.0014526454087823 0.00164038917022553 0.00169738342792161 0.00169738342792161 0.00181763674733678 0.00186579760267998 0.00190592488676095 0.00204788774794019 0.00204788774794019 0.00208155612976805 0.00214443402107193 0.00214443402107193 0.00214443402107193 0.00226803158053286 0.00240181461484693 0.00263873806261018 0.00269950545955914 0.00276342181162593 0.00296242806454853 0.00302234048656839 0.00302234048656839 0.00308166167728945 0.00315329944580254 0.00315329944580254 0.00315329944580254 0.00315329944580254 0.00315329944580254 0.00315329944580254 0.00315329944580254 0.00321234851990068 0.00321234851990068 0.00321234851990068 0.00321234851990068 0.00321234851990068
"HG_St1_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St2_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St3_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St4_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
