"","P.onset","P.onset_low.risk","P.onset_age","RR.onset_sex","P.sympt.diag_LGBC","P.sympt.diag_St1","P.sympt.diag_St2","P.sympt.diag_St3","P.sympt.diag_St4","P.sympt.diag_Age","shape.t.StI.StII","shape.t.StII.StIII","shape.t.StIII.StIV","P.LGtoHGBC","P.ungiag.dead","Mean.t.StI.StII","Mean.t.StII.StIII","Mean.t.StIII.StIV","accept","posterior_current","posterior_proposal"
"1",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,0,0
"2",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-66269.1247532199
"3",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-91925.6194748674
"4",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-1426731647.31411
"5",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-58829.7907307587
"6",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-72821.5540197125
"7",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-232254595.71134
"8",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-61878.299306618
"9",9.84e-06,0.652,1.11,3.75,0.05,0.1,0.2,0.3,0.4,0.876,0.662,0.766,0.423,0.0044,-0.00505,4.2724,3.1811,1.9537,0,-45634.3485728797,-71523.3179159604
"10",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,1,-45325.2023520981,-45325.2023520981
"11",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-72962.5617170237
"12",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-6470564.39464635
"13",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-58998.8065093086
"14",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-95559.7643552316
"15",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-69842.3879589268
"16",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-59829.7907307587
"17",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-63086.2573208527
"18",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-59829.7907307587
"19",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-96393.8489497127
"20",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-63201.6234756042
"21",6.8702133389866e-06,0.801657802421992,1.10906764506081,3.84707230486285,0.0339531285643486,0.124495081994275,0.163897487288378,0.335841333844331,0.494109280011276,0.584706043252251,0.658110282713206,0.848088619080557,0.394052163219755,0.00643440210430761,-0.00524569084755695,4.18535498476547,4.55129162095065,1.79732128250617,0,-45325.2023520981,-277796228.131983
